id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
3363,KACY,medium_airport,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75.0,,US,US-NJ,Atlantic City,yes,KACY,ACY,KACY,ACY,,https://en.wikipedia.org/wiki/Atlantic_City_International_Airport,
19232,KACZ,small_airport,Henderson Field,34.717899,-78.003601,39.0,,US,US-NC,Wallace,no,,,KACZ,ACZ,,https://en.wikipedia.org/wiki/Henderson_Field_(North_Carolina),
19233,KADC,small_airport,Wadena Municipal Airport,46.450298,-95.210999,1369.0,,US,US-MN,Wadena,no,,,KADC,ADC,https://www.wadena.org/page/airport,https://en.wikipedia.org/wiki/Wadena_Municipal_Airport,
19234,KADG,small_airport,Lenawee County Airport,41.866205,-84.077983,798.0,,US,US-MI,Adrian,no,KADG,ADG,KADG,ADG,,https://en.wikipedia.org/wiki/Lenawee_County_Airport,
19235,KADH,medium_airport,Ada Regional Airport,34.805214,-96.671988,1016.0,,US,US-OK,Ada,no,KADH,ADT,KADH,ADH,,https://en.wikipedia.org/wiki/Ada_Municipal_Airport,Ada Municipal
19236,KADM,small_airport,Ardmore Municipal Airport,34.30301,-97.0196342,777.0,,US,US-OK,Ardmore,no,KADM,ADM,KADM,ADM,,https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport,
19237,KADS,small_airport,Addison Airport,32.9686012268,-96.8364028931,644.0,,US,US-TX,Dallas,no,KADS,ADS,KADS,ADS,,https://en.wikipedia.org/wiki/Addison_Airport,
19238,KADT,small_airport,Atwood-Rawlins City-County Airport,39.841209,-101.043248,2991.0,,US,US-KS,Atwood,no,,,KADT,ADT,,https://en.wikipedia.org/wiki/Atwood–Rawlins_County_City–County_Airport,
19239,KADU,small_airport,Audubon County Airport,41.701401,-94.920502,1287.0,,US,US-IA,Audubon,no,,,KADU,ADU,,https://en.wikipedia.org/wiki/Audubon_County_Airport,
3364,KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280.0,,US,US-MD,Camp Springs,no,KADW,ADW,KADW,ADW,http://www.jba.af.mil/,https://en.wikipedia.org/wiki/Joint_Base_Andrews,Andrews Air Force Base
19242,KAEG,small_airport,Double Eagle II Airport,35.145198822021484,-106.79499816894533,5837.0,,US,US-NM,Albuquerque,no,,,KAEG,AEG,,https://en.wikipedia.org/wiki/Double_Eagle_II_Airport,
19243,KAEJ,small_airport,Central Colorado Regional Airport,38.812906,-106.120062,7946.0,,US,US-CO,Buena Vista,no,,,KAEJ,AEJ,https://www.buenavistaairport.com/,https://en.wikipedia.org/wiki/Central_Colorado_Regional_Airport,
19244,KAEL,small_airport,Albert Lea Municipal Airport,43.68149948,-93.36720276,1260.0,,US,US-MN,Albert Lea,no,KAEL,AEL,KAEL,AEL,,https://en.wikipedia.org/wiki/Albert_Lea_Municipal_Airport,
3365,KAEX,medium_airport,Alexandria International Airport,31.3274,-92.549797,89.0,,US,US-LA,Alexandria,yes,KAEX,AEX,KAEX,AEX,,https://en.wikipedia.org/wiki/Alexandria_International_Airport_(Louisiana),"England Air Park, England Air Force Base"
19245,KAFF,small_airport,USAF Academy Airfield,38.972497,-104.821125,6572.0,,US,US-CO,Colorado Springs,no,KAFF,AFF,KAFF,AFF,,https://en.wikipedia.org/wiki/United_States_Air_Force_Academy_Airfield,
19246,KAFJ,small_airport,Washington County Airport,40.136501,-80.290199,1184.0,,US,US-PA,Washington,no,KAFJ,WSG,KAFJ,AFJ,,https://en.wikipedia.org/wiki/Washington_County_Airport_(Pennsylvania),
19247,KAFK,small_airport,Nebraska City Municipal Airport,40.606899,-95.8657,1165.0,,US,US-NE,Nebraska City,no,,,KAFK,AFK,,https://en.wikipedia.org/wiki/Nebraska_City_Municipal_Airport,
19248,KAFN,small_airport,Jaffrey Airfield Silver Ranch Airport,42.805099,-72.002998,1040.0,,US,US-NH,Jaffrey,no,KAFN,AFN,KAFN,AFN,http://silverranchairpark.com/,https://en.wikipedia.org/wiki/Jaffrey_Airport_%E2%80%93_Silver_Ranch_Airpark,
19249,KAFO,small_airport,Afton Municipal Airport,42.7112007141,-110.942001343,6221.0,,US,US-WY,Afton,no,KAFO,AFO,KAFO,AFO,http://www.aftonairpark.com/,https://en.wikipedia.org/wiki/Afton_Municipal_Airport,
19250,KAFP,small_airport,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,300.0,,US,US-NC,Wadesboro,no,,,KAFP,AFP,http://www.co.anson.nc.us/BusinessServices/Airport.aspx,https://en.wikipedia.org/wiki/Anson_County_Airport,3A3
3366,KAFW,medium_airport,Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,722.0,,US,US-TX,Fort Worth,no,KAFW,AFW,KAFW,AFW,http://www.allianceairport.com/,https://en.wikipedia.org/wiki/Fort_Worth_Alliance_Airport,
3367,KAGC,medium_airport,Allegheny County Airport,40.354401,-79.930199,1252.0,,US,US-PA,Pittsburgh,no,KAGC,AGC,KAGC,AGC,,https://en.wikipedia.org/wiki/Allegheny_County_Airport,
19251,KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,319.0,,US,US-AR,Magnolia,no,KAGO,AGO,KAGO,AGO,,https://en.wikipedia.org/wiki/Magnolia_Municipal_Airport,Magnolia Municipal
19252,KAGR,small_airport,MacDill Air Force Base Auxiliary Field,27.6506,-81.349403,68.0,,US,US-FL,Avon Park,no,,,KAGR,AGR,,https://fr.wikipedia.org/wiki/Avon_Park_Air_Force_Range,
3368,KAGS,medium_airport,Augusta Regional At Bush Field,33.3699,-81.9645,144.0,,US,US-GA,Augusta,yes,KAGS,AGS,KAGS,AGS,,https://en.wikipedia.org/wiki/Augusta_Regional_Airport,
19253,KAGZ,small_airport,Wagner Municipal Airport,43.064913,-98.296654,1475.0,,US,US-SD,Wagner,no,,,KAGZ,AGZ,,https://en.wikipedia.org/wiki/Wagner_Municipal_Airport,
19254,KAHC,small_airport,Amedee Army Air Field,40.26620102,-120.1529999,4012.0,,US,US-CA,Herlong,no,KAHC,AHC,KAHC,AHC,,https://en.wikipedia.org/wiki/Amedee_Army_Airfield,
19255,KAHH,small_airport,Amery Municipal Airport,45.2811012268,-92.3753967285,1088.0,,US,US-WI,Amery,no,KAHH,AHH,KAHH,AHH,,https://en.wikipedia.org/wiki/Amery_Municipal_Airport,
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.948842,-83.325634,808.0,,US,US-GA,Athens,no,KAHN,AHN,KAHN,AHN,,https://en.wikipedia.org/wiki/Athens-Ben_Epps_Airport,
19256,KAHQ,small_airport,Wahoo Municipal Airport,41.2412986755,-96.59400177,1224.0,,US,US-NE,Wahoo,no,,,KAHQ,AHQ,,https://en.wikipedia.org/wiki/Wahoo_Municipal_Airport,
19257,KAIA,medium_airport,Alliance Municipal Airport,42.052543,-102.803965,3931.0,,US,US-NE,Alliance,yes,KAIA,AIA,KAIA,AIA,,https://en.wikipedia.org/wiki/Alliance_Municipal_Airport,
19258,KAIB,small_airport,Hopkins Field,38.239025,-108.563354,5940.0,,US,US-CO,Nucla,no,,,KAIB,AIB,http://www.montrosecounty.net/195/Nucla-Hopkins-Field,,"6V6, Naturita"
19259,KAID,small_airport,Anderson Municipal Darlington Field,40.10860061649999,-85.6129989624,919.0,,US,US-IN,Anderson,no,KAID,AID,KAID,AID,,https://en.wikipedia.org/wiki/Anderson_Municipal_Airport,
19260,KAIG,small_airport,Langlade County Airport,45.154202,-89.110703,1521.0,,US,US-WI,Antigo,no,,,KAIG,AIG,https://www.co.langlade.wi.us/departments/airport/,https://en.wikipedia.org/wiki/Langlade_County_Airport,
19261,KAIK,small_airport,Aiken Regional Airport,33.649399,-81.684998,528.0,,US,US-SC,Aiken,no,KAIK,AIK,KAIK,AIK,,https://en.wikipedia.org/wiki/Aiken_Municipal_Airport,"Aiken Air Force Station, Aiken Municipal"
19262,KAIO,small_airport,Atlantic Municipal Airport,41.40729904,-95.04689789,1165.0,,US,US-IA,Atlantic,no,KAIO,AIO,KAIO,AIO,,https://en.wikipedia.org/wiki/Atlantic_Municipal_Airport,
19263,KAIT,small_airport,Aitkin Municipal Airport Steve Kurtz Field,46.548401,-93.676804,1205.0,,US,US-MN,Aitkin,no,,,KAIT,AIT,,https://en.wikipedia.org/wiki/Aitkin_Municipal_Airport,
19264,KAIV,small_airport,George Downer Airport,33.106499,-88.1978,150.0,,US,US-AL,Aliceville,no,KAIV,AIV,KAIV,AIV,,https://en.wikipedia.org/wiki/George_Downer_Airport,
19266,KAIZ,small_airport,Lee C Fine Memorial Airport,38.0960006714,-92.54949951170002,869.0,,US,US-MO,Kaiser Lake Ozark,no,KAIZ,AIZ,KAIZ,AIZ,,https://en.wikipedia.org/wiki/Lee_C._Fine_Memorial_Airport,
19267,KAJG,small_airport,Mount Carmel Municipal Airport,38.606499,-87.7267,429.0,,US,US-IL,Mount Carmel,no,,,KAJG,AJG,,https://en.wikipedia.org/wiki/Mount_Carmel_Municipal_Airport,
19268,KAJO,small_airport,Corona Municipal Airport,33.897701,-117.601997,533.0,,US,US-CA,Corona,no,,,KAJO,AJO,https://www.coronaca.gov/government/departments-divisions/maintenance-services/corona-airport,https://en.wikipedia.org/wiki/Corona_Municipal_Airport,L66
19269,KAJR,small_airport,Habersham County Airport,34.499901,-83.556702,1448.0,,US,US-GA,Cornelia,no,,,KAJR,AJR,https://www.habershamga.com/airport.cfm,https://en.wikipedia.org/wiki/Habersham_County_Airport,
19270,KAJZ,small_airport,Blake Field,38.7864,-108.064003,5193.0,,US,US-CO,Delta,no,,,KAJZ,AJZ,https://www.colorado.com/airports/delta-blake-field-airport,,
19271,KAKH,small_airport,Gastonia Municipal Airport,35.202598,-81.149902,798.0,,US,US-NC,Gastonia,no,,,KAKH,AKH,http://www.gastoniaairport.com/,https://en.wikipedia.org/wiki/Gastonia_Municipal_Airport,0A6
19272,KAKO,small_airport,Colorado Plains Regional Airport,40.1755981445,-103.222000122,4714.0,,US,US-CO,Akron,no,KAKO,AKO,KAKO,AKO,http://www.co.washington.co.us/airport.htm,https://en.wikipedia.org/wiki/Colorado_Plains_Regional_Airport,
19273,KAKQ,small_airport,Wakefield Municipal Airport,36.98720169067383,-77.0010986328125,113.0,,US,US-VA,Wakefield,no,,,KAKQ,AKQ,,,
3370,KAKR,medium_airport,Akron Fulton International Airport,41.037355,-81.46784,1067.0,,US,US-OH,Akron,no,KAKR,AKC,KAKR,AKR,https://www.akronohio.gov/departments/service/engineering_bureau/akron_fulton_airport.php,https://en.wikipedia.org/wiki/Akron_Executive_Airport,"Akron Executive, NAS Akron."
3371,KALB,medium_airport,Albany International Airport,42.74829864501953,-73.80169677734375,285.0,,US,US-NY,Albany,yes,KALB,ALB,KALB,ALB,http://www.albanyairport.com/,https://en.wikipedia.org/wiki/Albany_International_Airport,
3372,KALI,medium_airport,Alice International Airport,27.7409,-98.026901,178.0,,US,US-TX,Alice,no,KALI,ALI,KALI,ALI,,https://en.wikipedia.org/wiki/Alice_International_Airport,
3373,KALM,medium_airport,Alamogordo White Sands Regional Airport,32.837818,-105.993149,4200.0,,US,US-NM,Alamogordo,no,KALM,ALM,KALM,ALM,,https://en.wikipedia.org/wiki/Alamogordo-White_Sands_Regional_Airport,
3374,KALN,medium_airport,St Louis Regional Airport,38.89030075069999,-90.0459976196,544.0,,US,US-IL,Alton/St Louis,no,KALN,ALN,KALN,ALN,,https://en.wikipedia.org/wiki/St._Louis_Regional_Airport,Civic Memorial Airport
3375,KALO,medium_airport,Waterloo Regional Airport,42.557098388671875,-92.40029907226562,873.0,,US,US-IA,Waterloo,yes,KALO,ALO,KALO,ALO,,https://en.wikipedia.org/wiki/Waterloo_Regional_Airport,
19275,KALS,medium_airport,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997,7539.0,,US,US-CO,Alamosa,yes,KALS,ALS,KALS,ALS,https://www.sanluisvalleyairport.org/,https://en.wikipedia.org/wiki/San_Luis_Valley_Regional_Airport,
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194.0,,US,US-WA,Walla Walla,yes,KALW,ALW,KALW,ALW,,https://en.wikipedia.org/wiki/Walla_Walla_Regional_Airport,
19276,KALX,small_airport,Thomas C Russell Field,32.914699554399995,-85.9629974365,686.0,,US,US-AL,Alexander City,no,KALX,ALX,KALX,ALX,,https://en.wikipedia.org/wiki/Thomas_C._Russell_Field,
3377,KAMA,medium_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,,US,US-TX,Amarillo,yes,KAMA,AMA,KAMA,AMA,http://airport.amarillo.gov/,https://en.wikipedia.org/wiki/Rick_Husband_Amarillo_International_Airport,
19277,KAMG,small_airport,Bacon County Airport,31.53610038757324,-82.50659942626953,200.0,,US,US-GA,Alma,no,,,KAMG,AMG,,,
19278,KAMN,small_airport,Gratiot Community Airport,43.322101593,-84.68800354,754.0,,US,US-MI,Alma,no,KAMN,AMN,KAMN,AMN,http://www.ci.alma.mi.us/1/307/airport.asp,https://en.wikipedia.org/wiki/Gratiot_Community_Airport,
19279,KAMT,small_airport,Alexander Salamon Airport,38.851501,-83.566299,896.0,,US,US-OH,West Union,no,,,KAMT,AMT,,https://en.wikipedia.org/wiki/Alexander_Salamon_Airport,
19280,KAMW,small_airport,Ames Municipal Airport,41.992001,-93.621803,956.0,,US,US-IA,Ames,no,KAMW,AMW,KAMW,AMW,,https://en.wikipedia.org/wiki/Ames_Municipal_Airport,
3378,KANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,612.0,,US,US-AL,Anniston,no,KANB,ANB,KANB,ANB,,https://en.wikipedia.org/wiki/Anniston_Metropolitan_Airport,Anniston Metropolitan
3379,KAND,medium_airport,Anderson Regional Airport,34.4945983887,-82.70939636230001,782.0,,US,US-SC,Anderson,no,KAND,AND,KAND,AND,,https://en.wikipedia.org/wiki/Anderson_Regional_Airport,
19281,KANE,small_airport,Anoka County-Blaine (Janes Field) Airport,45.145,-93.211401,912.0,,US,US-MN,Minneapolis,no,,,KANE,ANE,,https://en.wikipedia.org/wiki/Anoka_County%E2%80%93Blaine_Airport,
19282,KANJ,small_airport,Sault Ste Marie Municipal Airport Sanderson Field,46.479198,-84.368401,716.0,,US,US-MI,Sault Ste Marie,no,,,KANJ,ANJ,,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Municipal_Airport,Sault Sainte Marie
19283,KANK,small_airport,Salida Airport - Harriet Alexander Field,38.5383,-106.049004,7523.0,,US,US-CO,Salida,no,KANK,SLT,KANK,ANK,http://cityofsalida.com/departments/harriet-alexander-field-airport/,https://en.wikipedia.org/wiki/Harriet_Alexander_Field,
19284,KANP,small_airport,Lee Airport,38.942902,-76.568398,34.0,,US,US-MD,Annapolis,no,KANP,ANP,KANP,ANP,,https://en.wikipedia.org/wiki/Lee_Airport,
19285,KANQ,small_airport,Tri State Steuben County Airport,41.639702,-85.083504,995.0,,US,US-IN,Angola,no,KANQ,ANQ,KANQ,ANQ,,https://en.wikipedia.org/wiki/Tri-State_Steuben_County_Airport,
19286,KANW,small_airport,Ainsworth Regional Airport,42.579201,-99.992995,2589.0,,US,US-NE,Ainsworth,no,KANW,ANW,KANW,ANW,,https://en.wikipedia.org/wiki/Ainsworth_Regional_Airport,Ainsworth Municipal
19287,KANY,small_airport,Anthony Municipal Airport,37.158501,-98.079597,1340.0,,US,US-KS,Anthony,no,KANY,ANY,KANY,ANY,,https://en.wikipedia.org/wiki/Anthony_Municipal_Airport,
19288,KAOC,small_airport,Arco Butte County Airport,43.6035,-113.334,5332.0,,US,US-ID,Arco,no,,,KAOC,AOC,,,Pope Field
19289,KAOH,small_airport,Lima Allen County Airport,40.706902,-84.026703,975.0,,US,US-OH,Lima,no,KAOH,AOH,KAOH,AOH,,https://en.wikipedia.org/wiki/Lima_Allen_County_Airport,
3380,KAOO,medium_airport,Altoona Blair County Airport,40.296398,-78.32,1503.0,,US,US-PA,Altoona,yes,KAOO,AOO,KAOO,AOO,,https://en.wikipedia.org/wiki/Altoona-Blair_County_Airport,
19290,KAOV,small_airport,Ava Bill Martin Memorial Airport,36.971901,-92.6819,1311.0,,US,US-MO,Ava,no,,,KAOV,AOV,,https://en.wikipedia.org/wiki/Ava_Bill_Martin_Memorial_Airport,
19291,KAPA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885.0,,US,US-CO,Denver,no,KAPA,APA,KAPA,APA,,https://en.wikipedia.org/wiki/Centennial_Airport,Arapahoe County Airport
19292,KAPC,small_airport,Napa County Airport,38.2132,-122.280998,35.0,,US,US-CA,Napa,no,KAPC,APC,KAPC,APC,http://www.napacountyairport.org/,https://en.wikipedia.org/wiki/Napa_County_Airport,
19293,KAPF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8.0,,US,US-FL,Naples,no,KAPF,APF,KAPF,APF,,https://en.wikipedia.org/wiki/Naples_Municipal_Airport,
3381,KAPG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57.0,,US,US-MD,Aberdeen,no,KAPG,APG,KAPG,APG,,https://en.wikipedia.org/wiki/Phillips_Army_Airfield,Aberdeen Proving Grounds
19294,KAPH,small_airport,Mary Walker LZ Airport,38.068631,-77.319318,220.0,,US,US-VA,Bowling Green,no,KAPH,APH,KAPH,APH,,https://en.wikipedia.org/wiki/A.P._Hill_Army_Airfield,"A P Hill AAF, Fort A P Hill"
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690.0,,US,US-MI,Alpena,yes,KAPN,APN,KAPN,APN,,https://en.wikipedia.org/wiki/Alpena_County_Regional_Airport,
19295,KAPT,small_airport,Marion County Airport - Brown Field,35.060699,-85.585297,641.0,,US,US-TN,Jasper,no,KAPT,APT,KAPT,APT,,https://en.wikipedia.org/wiki/Marion_County_Airport_(Tennessee),
19296,KAPV,small_airport,Apple Valley Airport,34.575298309299995,-117.185997009,3062.0,,US,US-CA,Apple Valley,no,KAPV,APV,KAPV,APV,,https://en.wikipedia.org/wiki/Apple_Valley_Airport_(California),
21170,KAPY,small_airport,Zapata County Airport,26.9687995911,-99.2489013672,422.0,,US,US-TX,Zapata,no,,,KAPY,APY,http://www.co.zapata.tx.us/default.aspx?Zapata_County/Airport,,Formerly T86
19297,KAQO,small_airport,Llano Municipal Airport,30.783700942993,-98.662002563477,1102.0,,US,US-TX,Llano,no,,,KAQO,AQO,http://www.cityofllano.com/137/Municipal-Airport,https://en.wikipedia.org/wiki/Llano_Municipal_Airport,6R9
19298,KAQP,small_airport,Appleton Municipal Airport,45.228239,-96.005856,1020.0,,US,US-MN,Appleton,no,,,KAQP,AQP,,https://en.wikipedia.org/wiki/Appleton_Municipal_Airport,
19299,KAQR,small_airport,Atoka Municipal Airport,34.398300170898,-96.148101806641,590.0,,US,US-OK,Atoka,no,,,KAQR,AQR,http://www.atokaok.org/195/Atoka-Municipal-Airport,https://en.wikipedia.org/wiki/Atoka_Municipal_Airport,F80
19300,KAQW,small_airport,Harriman and West Airport,42.6959,-73.170403,654.0,,US,US-MA,North Adams,no,,,KAQW,AQW,,https://en.wikipedia.org/wiki/Harriman-and-West_Airport,
19110,KAQX,small_airport,Allendale County Airport,32.995098,-81.270203,161.0,,US,US-SC,Allendale,no,,,KAQX,AQX,,https://en.wikipedia.org/wiki/Allendale_County_Airport,"j88, kj88"
19301,KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,24.0,,US,US-LA,New Iberia,no,KARA,ARA,KARA,ARA,http://www.flyiberiaparish.com/,https://en.wikipedia.org/wiki/Acadiana_Regional_Airport,
19302,KARB,small_airport,Ann Arbor Municipal Airport,42.2229995728,-83.74559783939999,839.0,,US,US-MI,Ann Arbor,no,KARB,ARB,KARB,ARB,,https://en.wikipedia.org/wiki/Ann_Arbor_Municipal_Airport,
19303,KARG,small_airport,Walnut Ridge Regional Airport,36.124667,-90.925111,279.0,,US,US-AR,Walnut Ridge,no,KARG,ARG,KARG,ARG,http://walnutridgeairport.com/,https://en.wikipedia.org/wiki/Walnut_Ridge_Regional_Airport,
19304,KARM,small_airport,Wharton Regional Airport,29.254299,-96.154404,100.0,,US,US-TX,Wharton,no,KARM,WHT,KARM,ARM,http://www.cityofwharton.com/page/Airport,https://en.wikipedia.org/wiki/Wharton_Regional_Airport,5R5
19305,KARR,small_airport,Aurora Municipal Airport,41.771900177,-88.47570037839999,712.0,,US,US-IL,Chicago/Aurora,no,KARR,AUZ,KARR,ARR,,https://en.wikipedia.org/wiki/Aurora_Municipal_Airport_(Illinois),
3383,KART,medium_airport,Watertown International Airport,43.991901,-76.021698,325.0,,US,US-NY,Watertown,yes,KART,ART,KART,ART,,https://en.wikipedia.org/wiki/Watertown_International_Airport,
19306,KARV,small_airport,Lakeland Airport Noble F Lee Memorial Field,45.927898,-89.730904,1629.0,,US,US-WI,Woodruff,no,KARV,ARV,KARV,ARV,,https://en.wikipedia.org/wiki/Lakeland_Airport,Minocqua
19028,KARW,small_airport,Beaufort Executive Airport,32.412201,-80.634399,10.0,,US,US-SC,Beaufort,no,KARW,BFT,KARW,ARW,,https://en.wikipedia.org/wiki/Beaufort_County_Airport,"73J, Beaufort County Airport, Frogmore International Airport"
19307,KASD,small_airport,Slidell Airport,30.3451,-89.820801,29.0,,US,US-LA,Slidell,no,,,KASD,ASD,,https://en.wikipedia.org/wiki/Slidell_Airport,
19308,KASE,medium_airport,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003,7820.0,,US,US-CO,Aspen,yes,KASE,ASE,KASE,ASE,http://aspenairport.com/,https://en.wikipedia.org/wiki/Aspen%E2%80%93Pitkin_County_Airport,
19309,KASG,small_airport,Springdale Municipal Airport,36.176399231,-94.1193008423,1353.0,,US,US-AR,Springdale,no,KASG,SPZ,KASG,ASG,,https://en.wikipedia.org/wiki/Springdale_Municipal_Airport,
19310,KASH,small_airport,Nashua Airport / Boire Field,42.7817,-71.514801,199.0,,US,US-NH,Nashua,no,KASH,ASH,KASH,ASH,,https://en.wikipedia.org/wiki/Nashua_Airport,
19311,KASJ,small_airport,Tri-County Airport at Henry Joyner Field,36.297501,-77.170898,68.0,,US,US-NC,Aulander,no,,,KASJ,ASJ,,https://en.wikipedia.org/wiki/Tri-County_Airport_(North_Carolina),
19312,KASL,small_airport,Harrison County Airport,32.5205001831,-94.307800293,357.0,,US,US-TX,Marshall,no,KASL,ASL,KASL,ASL,,https://en.wikipedia.org/wiki/Harrison_County_Airport_(Texas),
19313,KASN,small_airport,Talladega Municipal Airport,33.569900512699995,-86.05090332030001,529.0,,US,US-AL,Talladega,no,KASN,ASN,KASN,ASN,,https://en.wikipedia.org/wiki/Talladega_Municipal_Airport,
19314,KAST,medium_airport,Astoria Regional Airport,46.158000946,-123.878997803,15.0,,US,US-OR,Astoria,no,KAST,AST,KAST,AST,,https://en.wikipedia.org/wiki/Astoria_Regional_Airport,
19315,KASW,small_airport,Warsaw Municipal Airport,41.2747,-85.840103,850.0,,US,US-IN,Warsaw,no,,,KASW,ASW,,https://en.wikipedia.org/wiki/Warsaw_Municipal_Airport_(Indiana),
19316,KASX,small_airport,John F Kennedy Memorial Airport,46.54850006,-90.91899872,827.0,,US,US-WI,Ashland,no,KASX,ASX,KASX,ASX,,https://en.wikipedia.org/wiki/John_F._Kennedy_Memorial_Airport,
19317,KASY,small_airport,Ashley Municipal Airport,46.0238990784,-99.3526000977,2032.0,,US,US-ND,Ashley,no,KASY,ASY,KASY,ASY,,https://en.wikipedia.org/wiki/Ashley_Municipal_Airport,
19318,KATA,small_airport,Hall Miller Municipal Airport,33.101799,-94.195297,280.0,,US,US-TX,Atlanta,no,,,KATA,ATA,,https://en.wikipedia.org/wiki/Hall-Miller_Municipal_Airport,
